id,user_id,item_id,score,exposure,group,position
0,484751,16921,0.0,1.0,4,1
1,484751,43818,0.0,0.6309297535714575,4,2
2,484751,9841,0.0,0.5,4,3
3,484751,6212,0.0,0.430676558073393,4,4
4,484751,19,0.0,0.38685280723454163,4,5
5,484751,49296,0.0,0.3562071871080222,3,6
6,484751,5491,0.0,0.3333333333333333,6,7
7,484751,22209,0.0,0.31546487678572877,5,8
8,484751,31327,0.0,0.3010299956639812,3,9
9,484751,38703,0.0,0.2890648263178878,3,10
1000,511133,16921,0.0,1.0,4,1
1001,511133,9841,0.0,0.6309297535714575,4,2
1002,511133,38703,0.0,0.5,3,3
1003,511133,6212,0.0,0.430676558073393,4,4
1004,511133,19,0.0,0.38685280723454163,4,5
1005,511133,49296,0.0,0.3562071871080222,3,6
1006,511133,22209,0.0,0.3333333333333333,5,7
1007,511133,5491,0.0,0.31546487678572877,6,8
1008,511133,31327,0.0,0.3010299956639812,3,9
1009,511133,43818,0.0,0.2890648263178878,4,10
2000,2988905,16921,0.0,1.0,4,1
2001,2988905,43818,0.0,0.6309297535714575,4,2
2002,2988905,38703,0.0,0.5,3,3
2003,2988905,6212,0.0,0.430676558073393,4,4
2004,2988905,19,0.0,0.38685280723454163,4,5
2005,2988905,49296,0.0,0.3562071871080222,3,6
2006,2988905,5491,0.0,0.3333333333333333,6,7
2007,2988905,22209,0.0,0.31546487678572877,5,8
2008,2988905,31327,0.0,0.3010299956639812,3,9
2009,2988905,9841,0.0,0.2890648263178878,4,10
3000,8967907,43818,0.0,1.0,4,1
3001,8967907,9841,0.0,0.6309297535714575,4,2
3002,8967907,5491,0.0,0.5,6,3
3003,8967907,38703,0.0,0.430676558073393,3,4
3004,8967907,6212,0.0,0.38685280723454163,4,5
3005,8967907,19,0.0,0.3562071871080222,4,6
3006,8967907,49296,0.0,0.3333333333333333,3,7
3007,8967907,22209,0.0,0.31546487678572877,5,8
3008,8967907,31327,0.0,0.3010299956639812,3,9
3009,8967907,16921,0.0,0.2890648263178878,4,10
4000,9125143,16921,0.0,1.0,4,1
4001,9125143,43818,0.0,0.6309297535714575,4,2
4002,9125143,38703,0.0,0.5,3,3
4003,9125143,6212,0.0,0.430676558073393,4,4
4004,9125143,19,0.0,0.38685280723454163,4,5
4005,9125143,49296,0.0,0.3562071871080222,3,6
4006,9125143,5491,0.0,0.3333333333333333,6,7
4007,9125143,22209,0.0,0.31546487678572877,5,8
4008,9125143,31327,0.0,0.3010299956639812,3,9
4009,9125143,9841,0.0,0.2890648263178878,4,10
5000,9170423,16921,0.0,1.0,4,1
5001,9170423,43818,0.0,0.6309297535714575,4,2
5002,9170423,9841,0.0,0.5,4,3
5003,9170423,6212,0.0,0.430676558073393,4,4
5004,9170423,19,0.0,0.38685280723454163,4,5
5005,9170423,49296,0.0,0.3562071871080222,3,6
5006,9170423,5491,0.0,0.3333333333333333,6,7
5007,9170423,22209,0.0,0.31546487678572877,5,8
5008,9170423,31327,0.0,0.3010299956639812,3,9
5009,9170423,38703,0.0,0.2890648263178878,3,10
6000,11057974,16921,0.0,1.0,4,1
6001,11057974,9841,0.0,0.6309297535714575,4,2
6002,11057974,38703,0.0,0.5,3,3
6003,11057974,6212,0.0,0.430676558073393,4,4
6004,11057974,19,0.0,0.38685280723454163,4,5
6005,11057974,49296,0.0,0.3562071871080222,3,6
6006,11057974,22209,0.0,0.3333333333333333,5,7
6007,11057974,5491,0.0,0.31546487678572877,6,8
6008,11057974,31327,0.0,0.3010299956639812,3,9
6009,11057974,43818,0.0,0.2890648263178878,4,10
7000,11583687,16921,0.0,1.0,4,1
7001,11583687,43818,0.0,0.6309297535714575,4,2
7002,11583687,38703,0.0,0.5,3,3
7003,11583687,6212,0.0,0.430676558073393,4,4
7004,11583687,19,0.0,0.38685280723454163,4,5
7005,11583687,49296,0.0,0.3562071871080222,3,6
7006,11583687,5491,0.0,0.3333333333333333,6,7
7007,11583687,22209,0.0,0.31546487678572877,5,8
7008,11583687,31327,0.0,0.3010299956639812,3,9
7009,11583687,9841,0.0,0.2890648263178878,4,10
8000,12110991,43818,0.0,1.0,4,1
8001,12110991,9841,0.0,0.6309297535714575,4,2
8002,12110991,38703,0.0,0.5,3,3
8003,12110991,5491,0.0,0.430676558073393,6,4
8004,12110991,6212,0.0,0.38685280723454163,4,5
8005,12110991,19,0.0,0.3562071871080222,4,6
8006,12110991,49296,0.0,0.3333333333333333,3,7
8007,12110991,22209,0.0,0.31546487678572877,5,8
8008,12110991,31327,0.0,0.3010299956639812,3,9
8009,12110991,16921,0.0,0.2890648263178878,4,10
9000,12416100,16921,0.0,1.0,4,1
